Name,Team,RTG,QBR,Predicted_QBR,Predicted_RTG,QBR_over_Pred,RTG_over_Pred
Jayden Daniels,Washington Commanders,97.7,51.6,65.729,98.462,-14.129,-0.762
Cam Ward,Tennessee Titans,70.9,24.0,49.643,87.264,-25.643,-16.364
Baker Mayfield,Tampa Bay Buccaneers,99.8,63.7,62.727,97.42,0.973,2.38
Mac Jones,San Francisco 49ers,89.8,55.3,53.015,91.414,2.285,-1.614
Sam Darnold,Seattle Seahawks,109.2,72.6,54.414,93.717,18.186,15.483
Aaron Rodgers,Pittsburgh Steelers,105.0,54.4,61.509,96.146,-7.109,8.854
Jalen Hurts,Philadelphia Eagles,108.9,66.9,61.376,97.093,5.524,11.807
Justin Fields,New York Jets,91.1,31.8,53.582,90.114,-21.782,0.986
Jaxson Dart,New York Giants,89.3,62.3,57.706,92.233,4.594,-2.933
Russell Wilson,New York Giants,78.2,31.8,57.706,92.233,-25.906,-14.033
Drake Maye,New England Patriots,116.4,76.8,57.143,96.224,19.657,20.176
Spencer Rattler,New Orleans Saints,88.4,55.8,52.642,88.801,3.158,-0.401
Carson Wentz,Minnesota Vikings,85.8,40.6,52.475,91.007,-11.875,-5.207
Tua Tagovailoa,Miami Dolphins,82.8,42.8,58.18,92.156,-15.38,-9.356
Geno Smith,Los Angeles Rams,77.1,34.4,56.949,97.532,-22.549,-20.432
Matthew Stafford,Los Angeles Chargers,109.3,66.1,63.153,98.493,2.947,10.807
Justin Herbert,Las Vegas Raiders,97.0,68.7,45.855,87.554,22.845,9.446
Patrick Mahomes,Kansas City Chiefs,102.9,77.9,63.108,95.739,14.792,7.161
Trevor Lawrence,Jacksonville Jaguars,80.6,42.9,61.539,93.816,-18.639,-13.216
Daniel Jones,Indianapolis Colts,105.9,80.4,68.436,100.265,11.964,5.635
C.J. Stroud,Houston Texans,91.1,55.4,56.98,93.423,-1.58,-2.323
Jordan Love,Green Bay Packers,108.1,70.4,66.62,100.503,3.78,7.597
Jared Goff,Detroit Lions,116.4,66.7,60.911,98.597,5.789,17.803
Bo Nix,Denver Broncos,87.3,56.0,65.276,99.653,-9.276,-12.353
Dak Prescott,Dallas Cowboys,107.6,81.2,64.807,99.018,16.393,8.582
Dillon Gabriel,Cleveland Browns,82.5,28.8,53.191,86.743,-24.391,-4.243
Jake Browning,Cincinnati Bengals,70.5,33.6,57.423,93.389,-23.823,-22.889
Caleb Williams,Chicago Bears,92.9,51.1,61.147,98.397,-10.047,-5.497
Bryce Young,Carolina Panthers,84.4,44.8,61.213,94.579,-16.413,-10.179
Josh Allen,Buffalo Bills,103.1,62.6,69.301,101.388,-6.701,1.712
Michael Penix,Atlanta Falcons,85.2,47.7,60.977,95.405,-13.277,-10.205
Kyler Murray,Arizona Cardinals,88.6,44.6,57.381,93.628,-12.781,-5.028
